brand_id,brand_name,product_name,campaign_name,campaign_phase
1,Google,Chromebook,BlackFriday,Launch
2,Microsoft,Surface Laptop,PowerRelease,Post-Launch
3,Nike,Epic React,BlackFriday,Post-Launch
4,Pepsi,Diet Pepsi,LaunchWave,Launch
5,Toyota,Corolla,LocalTouchpoints,Launch
6,Nike,React,CyberMonday,Pre-Launch
7,Pepsi,Pepsi Wild Cherry,GlobalCampaign,Launch
8,Coca-Cola,Coke Zero,CustomerFirst,Post-Launch
9,Coca-Cola,Coke Zero,SpringBlast2025,Launch
10,Google,Pixel Watch,CyberMonday,Launch
11,Amazon,Halo Band,HolidaySpecial,Pre-Launch
12,Google,Pixel Buds,HolidaySpecial,Post-Launch
13,Pepsi,Crystal Pepsi,GlobalCampaign,Pre-Launch
14,Amazon,Halo Band,ValentinesDeals,Launch
15,Samsung,Galaxy S25,InnovationX,Launch
16,Microsoft,Surface Duo,LocalTouchpoints,Launch
17,Microsoft,Xbox Series X,PowerRelease,Pre-Launch
18,Microsoft,Xbox Series X,WinterWonders,Launch
19,Coca-Cola,Coca-Cola Vanilla,NewYearNewYou,Launch
20,Pepsi,Pepsi Max,WinterWonders,Launch
21,Toyota,Highlander,SummerDreams,Pre-Launch
22,Coca-Cola,Coca-Cola Vanilla,PowerRelease,Pre-Launch
23,Adidas,Predator,SustainableFuture,Launch
24,Toyota,RAV4,EarthDay,Pre-Launch
25,Pepsi,Pepsi Max,BackToSchool,Pre-Launch
26,Microsoft,Xbox Elite Controller,DigitalTransformation,Pre-Launch
27,Microsoft,Surface Laptop,ValentinesDeals,Launch
28,Coca-Cola,Coca-Cola Cherry,HolidaySpecial,Launch
29,Apple,MacBook Pro,BlackFriday,Pre-Launch
30,Apple,iMac,InnovationX,Pre-Launch
31,Amazon,Ring Camera,HolidaySpecial,Pre-Launch
32,Google,Nest Hub,ReferralBonus,Post-Launch
33,Toyota,Sienna,LaunchWave,Post-Launch
34,Nike,Dri-FIT,HolidaySpecial,Post-Launch
35,Pepsi,Pepsi Max,SummerDreams,Launch
36,Nike,FlyKnit,NewYearNewYou,Post-Launch
37,Samsung,Galaxy Z Fold,CyberMonday,Post-Launch
38,Toyota,Camry,GlobalCampaign,Pre-Launch
39,Adidas,Yeezy,BlackFriday,Pre-Launch
40,Microsoft,Surface Duo,SummerSale,Post-Launch
41,Pepsi,Pepsi Lime,LocalTouchpoints,Post-Launch
42,Samsung,Galaxy S25,BackToSchool,Launch
43,Microsoft,Xbox Series X,LaunchWave,Post-Launch
44,Pepsi,Crystal Pepsi,CyberMonday,Post-Launch
45,Amazon,Ring Camera,FallCollection,Launch
46,Amazon,Echo Dot,DigitalTransformation,Launch
47,Nike,Dri-FIT,InnovationX,Post-Launch
48,Adidas,Ultraboost,ValentinesDeals,Pre-Launch
49,Coca-Cola,Coca-Cola Cherry,CyberMonday,Post-Launch
50,Amazon,Fire Tablet,HolidaySpecial,Launch
51,Adidas,Samba,LoyaltyRewards,Launch
52,Coca-Cola,Coca-Cola Vanilla,BlackFriday,Pre-Launch
53,Pepsi,Pepsi Wild Cherry,DigitalTransformation,Pre-Launch
54,Amazon,Echo Dot,SpringBlast2025,Post-Launch
55,Apple,Apple Watch,BackToSchool,Pre-Launch
56,Amazon,Fire Tablet,ReferralBonus,Post-Launch
57,Coca-Cola,Fanta,NewYearNewYou,Post-Launch
58,Samsung,Galaxy Buds,LocalTouchpoints,Launch
59,Samsung,Galaxy Z Fold,SpringBlast2025,Pre-Launch
60,Coca-Cola,Coke Zero,CyberMonday,Post-Launch
61,Adidas,NMD,NextGeneration,Post-Launch
62,Samsung,Galaxy Z Fold,SustainableFuture,Post-Launch
63,Toyota,Camry,ValentinesDeals,Launch
64,Toyota,Corolla,CustomerFirst,Launch
65,Coca-Cola,Coca-Cola Vanilla,HolidaySpecial,Post-Launch
66,Toyota,Prius,CustomerFirst,Post-Launch
67,Pepsi,Diet Pepsi,FallCollection,Pre-Launch
68,Google,Pixel Tablet,NewYearNewYou,Post-Launch
69,Apple,iPad Air,InnovationX,Launch
70,Google,Nest Thermostat,LocalTouchpoints,Post-Launch
71,Adidas,Ultraboost,CyberMonday,Launch
72,Apple,AirPods Pro,LocalTouchpoints,Post-Launch
73,Nike,Air Jordan,SustainableFuture,Post-Launch
74,Adidas,Predator,InnovationX,Launch
75,Toyota,Tundra,NewYearNewYou,Pre-Launch
76,Adidas,NMD,EarthDay,Launch
77,Adidas,Stan Smith,CustomerFirst,Pre-Launch
78,Toyota,RAV4,NextGeneration,Launch
79,Nike,Dri-FIT,SustainableFuture,Post-Launch
80,Nike,Air Jordan,SummerDreams,Pre-Launch
81,Nike,Epic React,FallCollection,Launch
82,Nike,Zoom Pegasus,BackToSchool,Launch
83,Toyota,Tacoma,SummerDreams,Post-Launch
84,Nike,Air Max,NewYearNewYou,Pre-Launch
85,Nike,Air Max,FallCollection,Post-Launch
86,Google,Pixel Watch,LaunchWave,Pre-Launch
87,Coca-Cola,Sprite,CyberMonday,Launch
88,Coca-Cola,Coca-Cola Cherry,SummerDreams,Pre-Launch
89,Coca-Cola,Coca-Cola Vanilla,BackToSchool,Launch
90,Pepsi,Pepsi Max,EarthDay,Launch
91,Apple,Mac Mini,GlobalCampaign,Launch
92,Toyota,Sienna,GlobalCampaign,Pre-Launch
93,Nike,FlyKnit,SpringBlast2025,Post-Launch
94,Samsung,Neo QLED TV,CustomerFirst,Pre-Launch
95,Nike,Air Force 1,DigitalTransformation,Post-Launch
96,Nike,Epic React,ReferralBonus,Post-Launch
97,Adidas,Ultraboost,SummerDreams,Post-Launch
98,Coca-Cola,Coca-Cola Cherry,ReferralBonus,Pre-Launch
99,Toyota,Camry,LaunchWave,Post-Launch
100,Microsoft,Xbox Series X,NextGeneration,Launch
101,Google,Nest Hub,LoyaltyRewards,Launch
102,Toyota,Sienna,InnovationX,Launch
103,Coca-Cola,Diet Coke,SpringBlast2025,Pre-Launch
104,Microsoft,Xbox Series X,GlobalCampaign,Pre-Launch
105,Samsung,Galaxy S25,WinterWonders,Post-Launch
106,Nike,Zoom Pegasus,HolidaySpecial,Launch
107,Apple,AirPods Pro,CustomerFirst,Launch
108,Google,Pixel 8,NextGeneration,Launch
109,Google,Pixel Watch,LaunchWave,Launch
110,Microsoft,Surface Laptop,ReferralBonus,Launch
111,Pepsi,Crystal Pepsi,SummerDreams,Post-Launch
112,Pepsi,Pepsi Lime,CyberMonday,Launch
113,Samsung,Galaxy Watch,InnovationX,Launch
114,Nike,Zoom Pegasus,CyberMonday,Post-Launch
115,Microsoft,Surface Laptop,SpringBlast2025,Post-Launch
116,Microsoft,Surface Go,SummerDreams,Pre-Launch
117,Amazon,Kindle,ReferralBonus,Pre-Launch
118,Google,Pixel Tablet,DigitalTransformation,Launch
119,Adidas,Gazelle,GlobalCampaign,Pre-Launch
120,Microsoft,Xbox Elite Controller,ReferralBonus,Pre-Launch
121,Microsoft,Surface Pro,FallCollection,Launch
122,Toyota,Highlander,CustomerFirst,Post-Launch
123,Amazon,Eero WiFi,InnovationX,Pre-Launch
124,Adidas,NMD,CyberMonday,Launch
125,Apple,AirPods Pro,SummerDreams,Post-Launch
126,Nike,Air Jordan,EarthDay,Launch
127,Pepsi,Pepsi Lime,PowerRelease,Launch
128,Amazon,Halo Band,WinterWonders,Post-Launch
129,Samsung,Galaxy Watch,DigitalTransformation,Post-Launch
130,Pepsi,Pepsi Max,EarthDay,Pre-Launch
131,Apple,Vision Pro,ValentinesDeals,Pre-Launch
132,Nike,FlyKnit,SummerDreams,Launch
133,Adidas,Ultraboost,CustomerFirst,Pre-Launch
134,Pepsi,Crystal Pepsi,NextGeneration,Launch
135,Adidas,Yeezy,HolidaySpecial,Pre-Launch
136,Nike,Dri-FIT,SummerDreams,Post-Launch
137,Nike,Epic React,LaunchWave,Pre-Launch
138,Apple,Apple Watch,LocalTouchpoints,Post-Launch
139,Coca-Cola,Coca-Cola Cherry,LoyaltyRewards,Pre-Launch
140,Nike,Zoom Pegasus,ValentinesDeals,Pre-Launch
141,Google,Chromebook,ValentinesDeals,Post-Launch
142,Adidas,Yeezy,InnovationX,Pre-Launch
143,Toyota,Tundra,LocalTouchpoints,Pre-Launch
144,Coca-Cola,Coca-Cola Vanilla,WinterWonders,Post-Launch
145,Google,Nest Thermostat,FallCollection,Pre-Launch
146,Amazon,Kindle,EarthDay,Post-Launch
